bit,LL_ptr
1,1
357,4629
4085,53093
4451,56551
14117,85549
21601,108001
28569,128905
28636,129106
361,4681
1252,16264
2570,33398
4445,56533
6256,61966
21961,109081
40260,163978
40379,164335
721,9361
3090,40158
4249,55225
14083,85447
16930,93988
22321,110161
30889,135865
42369,170305
413,5357
1081,14041
1338,17382
2292,29784
6102,61504
22681,111241
38254,157960
41101,166501
624,8100
880,11428
1441,18721
10822,75664
21210,106828
23041,112321
26015,121243
28407,128419
1801,23401
1849,24025
2789,36245
3443,44747
20717,105349
22630,111088
23401,113401
23928,114982
224,2900
2161,28081
2513,32657
3028,39352
12865,81793
23761,114481
25181,118741
30079,133435
315,4083
497,6449
2521,32761
2537,32969
5134,58600
24121,115561
31918,138952
35715,150343
2881,37441
3955,51403
4111,53431
4992,58174
11278,77032
24481,116641
38797,159589
39692,162274
1473,19137
1955,25403
2705,35153
3241,42121
15377,89329
24841,117721
34175,145723
37134,154600
2314,30070
2746,35686
3601,46801
13973,85117
15164,88690
25201,118801
30828,135682
34076,145426
962,12494
2428,31552
3178,41302
3961,51481
11917,78949
25561,119881
29779,132535
35278,149032
1275,16563
3264,42420
4321,56161
16005,91213
20481,104641
22737,111409
25921,120961
37300,155098
50,638
614,7970
4254,55290
4681,57241
14424,86470
23592,113974
26281,122041
27717,126349
868,11272
1503,19527
5041,58321
8431,68491
9808,72622
26641,123121
28060,127378
29791,132571
1007,13079
3946,51286
5401,59401
9068,70402
20233,103897
25765,120493
27001,124201
38588,158962
1199,15575
3735,48543
5761,60481
6842,63724
12593,80977
27361,125281
31061,136381
36997,154189
782,10154
2128,27652
2329,30265
6121,61561
12531,80791
27721,126361
28195,127783
39161,160681
1908,24792
3326,43226
6481,62641
10690,75268
13944,85030
23970,115108
28081,127441
31696,138286
185,2393
3268,42472
6841,63721
17085,94453
18306,98116
24392,116374
28441,128521
30510,134728
636,8256
2133,27717
5971,61111
7201,64801
15872,90814
22165,109693
28801,129601
32718,141352
2574,33450
2679,34815
7561,65881
10325,74173
13146,82636
29161,130681
29356,131266
31422,137464
1305,16953
3080,40028
7921,66961
17480,95638
20075,103423
25543,119827
26868,123802
29521,131761
94,1210
1699,22075
4151,53951
8281,68041
19342,101224
29881,132841
41673,168217
41710,168328
981,12741
2987,38819
3963,51507
8641,69121
16234,91900
24691,117271
30241,133921
32088,139462
227,2939
491,6371
3276,42576
9001,70201
13483,83647
30601,135001
35330,149188
37889,156865
353,4577
1713,22257
9361,71281
19606,102016
19679,102235
27760,126478
29218,130852
30961,136081
435,5643
1523,19787
9721,72361
10945,76033
21130,106588
26181,121741
31321,137161
34769,147505
771,10011
3885,50493
3903,50727
8114,67540
10081,73441
31681,138241
37949,157045
40892,165874
3448,44812
4184,54380
10318,74152
10441,74521
20068,103402
26395,122383
32041,139321
32823,141667
1880,24428
3490,45358
6805,63613
10801,75601
12840,81718
31229,136885
32401,140401
35004,148210
1724,22400
2231,28991
2643,34347
4311,56031
11161,76681
32761,141481
36305,152113
42402,170404
508,6592
2119,27535
2745,35673
4087,53119
11521,77761
26534,122800
29154,130660
33121,142561
583,7567
3479,45215
3777,49089
9623,72067
11881,78841
33481,143641
37600,155998
40845,165733
1151,14951
2686,34906
12241,79921
18950,100048
20540,104818
23583,113947
24929,117985
33841,144721
983,12767
4115,53483
8633,69097
9580,71938
12601,81001
24683,117247
34201,145801
38925,159973
1349,17525
1960,25468
6998,64192
12961,82081
18649,99145
25575,119923
33013,142237
34561,146881
741,9621
1112,14444
3472,45124
7230,64888
13321,83161
34921,147961
35382,149344
35653,150157
1558,20242
3462,44994
7789,66565
11583,77947
13681,84241
33480,143638
35281,149041
36928,153982
207,2679
3989,51845
10536,74806
13342,83224
14041,85321
33499,143695
35641,150121
40271,164011
556,7216
2812,36544
8016,67246
14401,86401
19369,101305
34295,146083
36001,151201
42709,171325
937,12169
2619,34035
8860,69778
14761,87481
16863,93787
23249,112945
31504,137710
36361,152281
1897,24649
3625,47113
5577,59929
15121,88561
17424,95470
23141,112621
27116,124546
36721,153361
2497,32449
3549,46125
9908,72922
12130,79588
15481,89641
34750,147448
37081,154441
39327,161179
618,8022
1457,18929
9082,70444
15841,90721
21259,106975
32612,141034
33780,144538
37441,155521
2286,29706
3780,49128
13173,82717
14799,87595
16201,91801
27671,126211
30401,134401
37801,156601
148,1912
2921,37961
5420,59458
14796,87586
16561,92881
21658,108172
22184,109750
38161,157681
2268,29472
2457,31929
4881,57841
16921,93961
18177,97729
21675,108223
38521,158761
41178,166732
13,157
1775,23063
6816,63646
16438,92512
17281,95041
33296,143086
38881,159841
41844,168730
1146,14886
2110,27418
3850,50038
7852,66754
17641,96121
27127,124579
39241,160921
43142,172624
899,11675
3075,39963
8861,69781
11480,77638
18001,97201
39601,162001
40365,164293
42958,172072
187,2419
2081,27041
2420,31448
3609,46905
18361,98281
26692,123274
39961,163081
42113,169537
1133,14717
3073,39937
14556,86866
18407,98419
18721,99361
34367,146299
36387,152359
40321,164161
2398,31162
3688,47932
5157,58669
15522,89764
19081,100441
22564,110890
37456,155566
40681,165241
3151,40951
3997,51949
6415,62443
17853,96757
19441,101521
25312,119134
29039,130315
41041,166321
1563,20307
3064,39820
7527,65779
11771,78511
19801,102601
38337,158209
41401,167401
42747,171439
839,10895
3590,46658
16654,93160
20161,103681
21515,107743
36291,152071
39543,161827
41761,168481
1184,15380
3890,50558
15658,90172
17915,96943
20521,104761
22818,111652
30074,133420
42121,169561
1751,22751
1999,25975
2910,37818
19017,100249
20881,105841
24325,116173
32360,140278
42481,170641
425,5513
1369,17785
1791,23271
2996,38936
21241,106921
36435,152503
39938,163012
42841,171721
2,14
358,4642
4086,53106
4452,56554
14118,85552
21602,108004
28570,128908
28637,129109
362,4694
1253,16277
2571,33411
4446,56536
6257,61969
21962,109084
40261,163981
40380,164338
722,9374
3091,40171
4250,55238
14084,85450
16931,93991
22322,110164
30890,135868
42370,170308
414,5370
1082,14054
1339,17395
2293,29797
6103,61507
22682,111244
38255,157963
41102,166504
625,8113
881,11441
1442,18734
10823,75667
21211,106831
23042,112324
26016,121246
28408,128422
1802,23414
1850,24038
2790,36258
3444,44760
20718,105352
22631,111091
23402,113404
23929,114985
225,2913
2162,28094
2514,32670
3029,39365
12866,81796
23762,114484
25182,118744
30080,133438
316,4096
498,6462
2522,32774
2538,32982
5135,58603
24122,115564
31919,138955
35716,150346
2882,37454
3956,51416
4112,53444
4993,58177
11279,77035
24482,116644
38798,159592
39693,162277
1474,19150
1956,25416
2706,35166
3242,42134
15378,89332
24842,117724
34176,145726
37135,154603
2315,30083
2747,35699
3602,46814
13974,85120
15165,88693
25202,118804
30829,135685
34077,145429
963,12507
2429,31565
3179,41315
3962,51494
11918,78952
25562,119884
29780,132538
35279,149035
1276,16576
3265,42433
4322,56164
16006,91216
20482,104644
22738,111412
25922,120964
37301,155101
51,651
